Nº CFM,Nome da Instituição,Sigla,CNPJ,Endereço,Município,Região,Telefone Institucional,E-mail Institucional,Site,Facebook,Instagram,Twitter,Natureza Administrativa do Museu,Documento de Criação,Situação,Funcionamento,Valor ingresso,Gratuidades,Setor Educativo,Acervo Predominante,Museólogo,Acessibilidade,Histórico,Responsável pelo Casdastro,"Data 
Cadastro",Certificado enviado,Lat,Lng
257,Museu Bajubá,-,47.077.511/0001-75,"Rua Evaristo da Veira, 47/902",Rio de Janeiro,Metropolitana I,(21) 99797-8674,museubajuba@museubajuba.org,https://museubajuba.org,@museubajuba,@museubajuba,-,Privada,Estatuto Social,Aberto,"Todos os dias - Manhã, Tarde e Noite",Gratuito,-,Não,Histórico,Não,Temos plugin que facilita a comunicação com PCD,"Trata-se de um museu comunitário virtual - museu de território. Criado em 12 de junho de 2020, em junho de 2021 fez a sua abertura. Em agosto doesmo ano inaugurou a primeira exposição - Cintilando e causando frisson, 140 anos de nascimento de João do Rio, quando obtivemos o selo de reconhecimento do Ibram. Realizamos 3 exposições e um roteiro virtual. Temos participado da semana de museus e da primavera de miseus, com debates, guiamentos e minicursos. Estamos em véspera da inauguração de nossa quarta exposição - sobre os 60 amos do show Les Girls.",Rita Rodrigues - Presidenta,18/12/2024,OK,-22.9110137,-43.2093727
258,Museu Ìyá Obá Biyí,M.Obá,157.620.67/0001-30,"Av. Éverton Xavier, 2392, Itaipu",Niterói,Metropolitana III,(21) 98611-2740,contato@aganjuixola.com.br,https://candomblesnoriodejaneiro.wordpress.com/,,@aganjuixola,-,Privada,Ata,Em implantação,Sábado e Domingo - Manhã e Tarde,Gratuito,-,Sim,Outros,Sim,O Ilê Axé Agaju Ixolá está em processo de tornar todos os caminhos acessíveis a todos os públicos em sua diversidade. O espaço está em adaptação a caminho de concretizar tal caminhos de acessibilidade.,"""Um dos fundamentos do candomblé é o respeito, saudação e reverência aos ancestrais, assim o Babalorixá do Ilê Axé Aganju Ixolá, Maurício Obá Guerê, funda o Museu Mãe Aninha Obá Biyí (M.Obá) em memória de uma das mulheres mais importantes do candomblé carioca, Mãe Aninha Obá Biyí.

Mãe Aninha (1869-1938) fundou as casas de candomblé Opô Afonjá no Rio de Janeiro, em 1886, e Opô Afonjá em Salvador, em 1910. Mãe Aninha lutou ativamente para a segurança do culto das religiões afro-brasileiras, luta essa que continua em todos que descendem de seu axé. 

Em face ao crescente racismo religioso na sociedade brasileira, o M.Obá é fundado em combate ao preconceito que ataca as religiões de matriz africana diariamente e convida a sociedade conhecer o legado e patrimônio de resistência centenária desta família de axé. 

Como é sabido, no candomblé um ancestral nunca morre, e, assim, o museu celebra a presença e continuidade de Mãe Aninha na casa Axé Aganju Ixolá. O M.Obá pesquisa, preserva e comunica não só o legado vivo e presente de Mãe Aninha mas também todo o calor do axé de Xangô.""",Pai Mauricio Obá Gueuê - Babalorixá,03/01/2025,OK,-22.8884000,-43.1147000
259,MUSEU REPUBLICA DO MANGUE,-,40.374.019/0001-12,"RUA CEARA 268, PRÇA DA BANDEIRA",Rio de Janeiro,Metropolitana I,(21) 2205-6310,associacaovilamimosa@gmail.com,Em construção,https://www.facebook.com/avilamimosa,-,-,Privada,Não existe documentação de criação do museu,Em implantação,"Todos os dias - Manhã, Tarde e Noite",R$10 a R$20,".Gratuidade para moradores, da comunidade e portadores de deficiencia",Sim,Histórico,Sim,"
Atividades e Equipamentos para Acessibilidade Universal no Museu Online
1. Adequações de Comunicação Digital:
Para garantir que o conteúdo do museu online seja acessível a diversos públicos, as seguintes iniciativas devem ser inovadoras:
• Site acessível :
o Desenvolvimento de uma plataforma que segue as diretrizes do WCAG (Web Content Accessibility Guidelines) , garantindo acessibilidade para pessoas com deficiência visual, auditiva, motora e cognitiva.
o Compatibilidade com leitores de tela , como NVDA e JAWS.
o Utilização de textos alternativos (texto alternativo) em todas as imagens.
o Design responsivo para facilitar o acesso em diferentes dispositivos, incluindo smartphones e tablets.
• Conteúdo inclusivo :
o Audiodescrição para imagens, vídeos e transmissões virtuais, permitindo que pessoas com deficiência visual compreendam o conteúdo.
o Legendas em todos os vídeos e interpretação em Libras (Língua Brasileira de Sinais) para atender pessoas com deficiência auditiva.
o Textos em linguagem simples e clara , adaptados para públicos com baixa alfabetização ou deficiência intelectual.
o Traduções para outros idiomas, como inglês e espanhol, promovendo a acessibilidade cultural.
2. Eliminação de Barreiras Atitudes no Ambiente Online:
Para garantir que o espaço digital seja acolhedor, algumas ações incluem:
• Suporte ao usuário : Disponibilização de uma central de ajuda com atendimento via chat, e-mail ou telefone, treinada para atendimento de forma humanizada e inclusiva.
• Programas educativos virtuais :
o Realização de workshops e palestras online com acessibilidade plena (interpretação em Libras, legendas, audiodescrição).
o Atividades interativas que incentivam a participação de pessoas com diferentes habilidades e realidades.
3. Programação Inclusiva:
• Exposições interativas interativas :
o Tours 360º acessíveis com navegação simplificada e pontos de interação que oferecem audiodescrição e legendas.
o Seções sensoriais virtuais com trilhas sonoras que remetem à história da Zona do Mangue.
• Atividades para públicos diversos :
o Lives culturais com artistas, historiadores e especialistas, sempre acompanhados de recursos de acessibilidade.
o Conteúdo multimídia adaptado, como jogos educativos e quizzes interativos, direcionados para atender diferentes idades e perfis.
4. Justificativa para a Acessibilidade no Ambiente Online:
A escolha por um museu online permite democratizar o acesso à história e à cultura da Zona do Mangue, ultrapassando barreiras geográficas e físicas. A implementação de acessibilidade digital amplia o alcance para públicos que incluem:
• Pessoas com deficiência.
• Comunidades de baixa renda com acesso restrito a equipamentos ou internet limitada.
• Público internacional, promovendo o intercâmbio cultural.
5. Educação e Sensibilização no Espaço Virtual:
• Produção de conteúdos apresentados para sensibilizar o público sobre a história da Zona do Mangue e seu impacto cultural, enfatizando a diversidade e o respeito às
• Campanhas online para desmistificar preconceitos sobre a região da Vila Mimosa e seu papel na história.
","""Breve Histórico do Museu República do Mangue – Vila Mimosa
O Museu República do Mangue surge como uma iniciativa histórica e cultural destinada a preservar e celebrar a memória da antiga Zona do Mangue, uma área que, durante o século XX, desempenhou um papel central na história social e cultural do Rio de Janeiro. A região, conhecida pela presença das polacas (imigrantes judias trazidas da Europa), não era apenas um espaço de prostituição, mas também um centro dinâmico de expressão artística, resistência popular e transformações sociais.
A criação do museu busca valorizar essa história muitas vezes estigmatizada, transformando-a em um símbolo de resistência cultural, memória coletiva e inclusão social . O projeto visa transformar a fachada da Vila Mimosa em um grande mural histórico, retratando as nuances culturais, sociais e políticas que marcaram a Zona do Mangue. Destacam-se a chegada das polacas, que influenciaram a política e a cultura nacional – tendo inclusive contribuído para discutir em torno da legislação trabalhista durante a Era Vargas – e a importância da região berço de compositores como Mael Silva, além de sua conexão com o samba ea cultura popular carioca.
Além disso, o museu resgata as transformações culturais e sociais da Vila Mimosa, que, desde sua origem até os dias de hoje, passou de um espaço estigmatizado para se tornar um ponto de resistência e desenvolvimento comunitário. Um marco importante foi a criação, em 2004, do Ponto de Cultura Dama da Camélia, que promoveu capacitações artísticas e culturais, contribuindo para o empoderamento das trabalhadoras sexuais e das mulheres da comunidade.
Objetivos do Museu República do Mangue:
1.        Preservação da Memória Histórica:
Resgatar a história da Zona do Mangue, destacando sua relevância cultural, política e social no contexto do Rio de Janeiro.
2.        Combate ao Estigma:
Reverter narrativas preconceituosas sobre uma região, promovendo um olhar humanizado e culturalmente rico sobre a história da Vila Mimosa e seu papel na sociedade.
3.        Valorização da Arte e Cultura Popular:
Criar um espaço para a expressão artística e cultural, através de murais, exposições e eventos que celebrem a riqueza cultural da região.
4.        Engajamento Comunitário:
Envolver a comunidade local em atividades artísticas e educativas, promovendo o fortalecimento da identidade coletiva e oferecendo oportunidades de capacitação cultural.
5.        Educação e Sensibilização:
Promover a reflexão sobre a história e os impactos sociais da região, contribuindo para a construção de narrativas positivas e inclusivas.
Justificativa para a Criação do Museu:
A Zona do Mangue foi um dos principais marcos históricos do Rio de Janeiro, mas sua relevância cultural e social foi frequentemente ignorada ou estigmatizada. O Museu República do Mangue é essencial para:
•        Reconhecer o papel histórico das mulheres, especialmente das polacas e trabalhadoras sexuais, na formação da identidade cultural e social do Brasil.
•        Valorizar a arte e a cultura popular que emergiram dessa região, contribuindo para o samba, a literatura e outras expressões culturais.
•        Resgatar a importância política da região, que influenciou as discussões nacionais, como as reformas trabalhistas promovidas durante a Era Vargas.
•        Evidenciar as transformações sociais e culturais que a Vila Mimosa experimentou ao longo das décadas, especialmente com iniciativas como o Ponto de Cultura Dama da Camélia, que começou em 2004 e marcou um novo capítulo na história da comunidade.
•        Criar um espaço simbólico de resistência e empoderamento, destacando que a Vila Mimosa não é apenas um local de prostituição, mas também de história, cultura e potencial transformador.
O Museu República do Mangue não é apenas um resgate histórico, mas uma ferramenta de transformação social e cultural, capaz de reescrever narrativas, combater preconceitos e criar um espaço de valorização e pertencimento para a comunidade e para todos que liberam a riqueza da história carioca.""",Cleide Nascimento de Almeida Avelino - Tesoureira,16/01/2025,OK,-22.9110137,-43.2093727
260,Museu de Arte Sacra de Angra dos Reis,-,29.172.467/0001-09,"Rua Dr. Bastos, s/n, Centro - Angra dos Reis. Cep 23.900-080",Angra dos Reis,Costa Verde,(24) 3369-7693,cultura.supat@angra.rj.gov.br,www.angra.rj.gov.br,-,@prefeituraangra @secretariadeculturadeangra,-,Municipal,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",Segunda a Sexta - Manhã e Tarde / Sábado e Domingo - Manhã,Gratuito,-,Não,Histórico,Não,"Não existe, em funcionamento, ações de acessibilidade no espaço.","""Museu de Arte Sacra de Angra dos Reis, sediado nas dependências da Igreja de Nossa Senhora da Lapa e Boa Morte é considerado o mais importante do estado em matéria de arte sacra. Seu acervo, tombado pelo Instituto do Patrimônio Histórico e Artístico Nacional - IPHAN, reúne cerca de dois mil itens distribuídos em coleções de imaginária, prataria e indumentária que datam entre os séculos XVII ao início do século XX.

Este acervo é oriundo das irmandades já extintas do Santíssimo Sacramento, de Nossa Senhora do Rosário, de São Miguel e Almas e de Nossa Senhora da Conceição; das igrejas localizadas na Ilha Grande, Mambucaba, Ariró, Bracuí, Ribeira e Jacuecanga, assim como do culto doméstico muito particular que fez surgir algumas imagens de cunho popular tradicional na região.

Desde então, todo ano é realizada no museu uma exposição temática diferente com o fim de fazer circular o importante acervo sob a fiscalização do IPHAN e manutenção do município.

Criado em 1992, o museu é um misto de templo sagrado e espaço cultural.

Mantendo a tradição do culto a Nossa Senhora da Lapa e Boa Morte, o museu é usado pela comunidade católica no mês de agosto, com missas, procissões e outras celebrações que comemoram o dogma da Assunção, como prevê o acordo firmado entre a Prefeitura e a Mitra Diocesana de Itaguaí que cedeu a igreja para abrigar o importante acervo sob a guarda do museu.""",Mauro do Nascimento dos Santos - Superintendência de Patrimônio,07/02/2025,OK,-23.1555405,-44.2344809
261,Casa Claudionor Rosa,-,57.583.968/0001-05,"Rua Doutor Cunha Ferreira, 107 - Centro",Resende,Médio Paraíba,(24) 99827-1427,lrosa09@icloud.com,-,https://www.facebook.com/groups/casaclaudionorrosa,-,-,Privada,Estatuto Social,Aberto,Quarta - Tarde / Quinta e Sábado - Manhã / Sexta - Tarde e Noite,Gratuito,-,Sim,Histórico,Não,"Rampa de Acesso a Cadeirante , Suporte a Terceira Idade.","Resgatar, preservar e conservar a memória resendense através do seu acervo e ser um ponto importante de referência e discussão das transformações culturais, sociais, econômicas e materiais da cidade e circunvizinhas ao longo de sua história. Cidadão Resendense, Cidadão Itatiaiense, Cadeira na Academia Resendense de História, Comenda Conde de Resende, Patrono da Academia Itatiaiense de História, Título de Benemérito do Estado do Rio de Janeiro, Selo Postal Empresas de Correios e Telégrafos. Estatua Publica no Centro Histórico da Cidade, a Casa foi tombada pelo Patrimônio Histórico. Aproximadamente 9 mil peças, revistas, jornais, livros que circulavam em Resende, Rio de Janeiro (Estado/Capital) e Brasil. Coleções de numismática e filatelia, discos de vinil. Moveis do período colonial, pecas artísticas e artefatos culturais. Todo acervo é datado entre o final do século XIX a atualidade.",Luciano de Almeida Rosa - Produtor Cultural,2/13/2025,OK,-22.4418699,-44.4204847
262,Museu da Cidade,-,-,"Praça São Sebastião, 224 - Centro",Três Rios,Centro Sul,(24) 2255-1729,historia.cultura@tresrios.rj.gov.br,-,-,-,-,Municipal,Decreto,"Aberto, funcionando parcialmente",Segunda a Sexta - Tarde,Gratuito,-,Não,Histórico,Não,-,"Em 2010 por decreto municipal foi criado o Museu de Três Rios inicialmente visando o abrigar o acervo historico cultural  no local onde ja existia a Casa de Cultura. A cessão do predio com essa finalidade pelo governo do RJ se deu em 2018. Desde então, estamos em processo de sensibilização para que a gestão municipal iinstitucionalize o espaço e garanta o fomento deste espaço  público que é o ponto de referencia  historico cultural  dos trirrienses.",Vera Alves Pereira - Historiadora,3/22/2025,OK,-22.1201732,-43.1072134
263,Museu Fazenda Bom Jardim,-,-,Rua Luis Correa - Numero 5,Bom Jardim,Serrana,(22) 2566-2236,turismoculturabj@gmail.com,-,-,@museufazendabomjardim,-,Municipal,Lei,Aberto,Quarta a Domingo - Manhã e Tarde,Gratuito,-,Não,Histórico,Não,"O Museu Fazenda Bom Jardim possui acessibilidade no que tange sua entrada e circulação por todo o ambiente. Cabe destacar que as dependências do Museu não possuem banheiro PCD. Contudo, há a intenção de ampliar essa acessibilidade e implementar no futuro.","O Museu Fazenda Bom Jardim, inaugurado em 2015, está instalado na casa sede da antiga fazenda que leva esse nome. O casarão, datado de 1898, abriga exposições que contam um pouco da história da própria casa, da família que nela morava e também conta com exposições que mostram um pouco da história da cidade de Bom Jardim. ",Descio Luiz Freire - Supervisor de Cultura Municipal,04/04/2025,OK,-22.2061080,-42.3797574
264,Casa da Marquesa de Santos,CMS,-,"Av Pedro II, 293 - São Cristóvão RJ",Rio de Janeiro,Metropolitana I,(21) 99646-7831,casadamarquesa.cultura@gmail.com,-,-,@casadamarquesa,-,Estadual,Lei,Desativado sem previsão de retorno,,Gratuito,-,Sim,Histórico,Sim,Instalações adequadas.,"A CMS localizada em São Cristóvão, foi construída por Dom Pedro I para Domitila de Castro Canto e Melo a Marquesa de Santos, em 1826. ",Chris Aguiar - Diretora,03/05/2025,OK,-22.9047221,-43.2169829
265,Museu e Biblioteca Corina Peixoto de Araújo,-,-,"Praça Teixeira Soares, 135 - Lot. Santa Lucia, São Fidélis - RJ, 28400-000",São Fidélis,Norte Fluminense,(22) 2758-2393,culturaturismo.sf@hotmail.com,-,-,,-,Municipal,Não existe documentação de criação do museu,Aberto,Segunda a Sexta - Manhã e Tarde,Gratuito,-,Sim,Histórico,Não,-,"""A Biblioteca Municipal Corina Peixoto de Araújo, em São Fidélis-RJ, recebeu o selo “O Brasil Que Lê”, dentre mais de mil projetos inscritos, confirmando sua presença no mapeamento de instituições, práticas e ações que incentivam a leitura em todo o país.

A pesquisa reúne, em parceria, o Instituto Itaú Cultural, a JCastilho Consultoria, a Cátedra UNESCO (Organização das Nações Unidas para Educação, Ciência e Cultura) de Leitura e o Instituto Interdisciplinar de Leitura da Pontifícia Universidade Católica do Rio de Janeiro e tem como objetivo enumerar e exibir ações que ajudem a construir o Brasil por meio da leitura e da cultura.Foram consideradas, principalmente, as iniciativas tomadas pela Biblioteca para vencer os desafios proporcionados pela pandemia e permanecer com os mecanismos de incentivo à leitura.

Numa parceria com a Secretaria Municipal de Comunicação Social de São Fidélis, são postadas semanalmente dicas de leitura de seu acervo nas redes sociais do município. Além disso, abriu-se, por exemplo, o Serviço de Atendimento Virtual – SAV, pelo aplicativo WhatsApp, no número (22) 2758 6829. Por meio dele, é possível consultar o acervo, renovar empréstimo de livros, receber dicas personalizadas de leitura e ter os diversos serviços oferecidos pela instituição.

Na semana da Festa do Padroeiro deste ano, por meio de seu SAV, a Biblioteca Municipal enviou vídeos especiais sobre a história e a cultura da cidade, hoje disponíveis no canal do Museu e Biblioteca Corina Peixoto de Araújo no YouTube.

Para Pedro Silva, curador das dicas de leitura e responsável pelo SAV, o selo é mais um reconhecimento dos esforços em prol da leitura, da arte e da cultura, que vão desde os festivais de poesia, passam pelos clubes de leitura e movimentos de teatro e se renovam com os rappers e mcs fidelenses: “São Fidélis merece uma biblioteca viva, que consiga dialogar com as necessidades de seus diferentes públicos e cativar leitores de diversos gêneros textuais. Somos a Cidade Poema e devemos trabalhar para que os novos versos da cidade continuem a ser escritos”, completa.

Com a certificação, a Biblioteca Municipal Corina Peixoto de Araújo apresenta-se, ao lado de outras importantes instituições, na relação de espaços e iniciativas que promovem, pela leitura, as mudanças das quais o Brasil precisa. O resultado final da pesquisa “O Brasil Que Lê” está previsto para este último trimestre de 2021.""",Alexandre Mury - Artista,18/05/2025,OK,-21.6712726,-41.7888835
266,Museu do Macquinho,-,-,"Rua Nair Margem Pereira, Número 1, Ingá. ",Niterói,Metropolitana III,(21) 97903-3731,museu.macquinho@gmail.com,-,-,@macquinho.oficial,-,Público-Privada,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",De Terça a Sexta - Manhã e Tarde / Sábado a Tarde,Gratuito,-,Sim,Imagem e Som,Não,O prédio possui um elevador que não está em funcionamento. O museu em si tem como objetivo mobilizar a memória da luta favelada e dos que sempre estiveram fora da narrativa pública. O museu tem como objetivo ter legendas em braille e audiovisuais para poder caminhar neste sentido de aprimorar e se tornar cada vez mais acessível.,"""O Centro Cultural de Cidadania e Economia Criativa Macquinho é um aparelho cultural da prefeitura de Niterói e funciona desde 2008 no Morro do Palácio - Ingá.
Inicialmente vinculado ao Museu de Arte Contemporânea de Niterói, o que vai mudar em 2013.
O espaço entre 2008 e 2022 passa por diversas fases e gestões e em 2022 o Macquinho passa a ter uma gestão e orçamento próprio. 
Nessa nova fase, foi iniciado por Vitor Vogel e Walkiria Nichteroy um projeto de pesquisa e resgate da memória do Morro do Palácio. O processo de pesquisa, culminou em uma exposição permanente, no início da construção de um acervo, em um projeto de história oral e diversas atividades educativas. Assim se configurou a ideia do Museu do Macquinho, que funciona dentro do aparelho cultural, como parte das suas atividades.""",Klauder Vicente Quevedo Gonzaga - Pesquisador / Coordenador / Educador,29/05/2025,OK,-22.8884000,-43.1147000
267,Museu Ivan Cruz Brincadeiras de Criança,-,14.253.127/0001-27,"Rua Silex, nº 34 - Portinho RJ, Cep: 28915-327 ",Cabo Frio,Baixadas Litorâneas,(22) 98812-6168,projetobrincadeirasdecrianca@gmail.com,https://www.ivancruz.com.br/,ivancruzbrincadeirasdecrianca,ivancruzbrincadeirasdecrianca,-,Privada,Não existe documentação de criação do museu,Aberto,De Segunda a Sábado - Manhã e Tarde / Domingo a Tarde,Acima de R$30,A combinar com a produção: Ludmila Guerra 22988126168,Não,Artes Visuais,Não,sim possuímos os cuidados e acessibilidade universal,"""Ivan Cruz, carioca de 1947 teve uma infância feliz, brincando nas ruas de Vigário Geral e Penha Circular. Mesmo atuando por anos como advogado, a arte sempre esteve presente em sua vida, até que as Artes Plásticas se tornaram sua principal atividade. Em 1990 começa a Série que intitulou como “Brincadeiras de Criança” retratando em telas cenas de sua infância. Em pouco tempo se tornou um projeto aonde a arte caminha junto à educação. Suas obras são estudadas na sala de aula através de livros didáticos publicados por mais de 50 editoras que publicam suas imagens em livros didáticos e paradidáticos. O tema que resgata as brincadeiras que brincou, hoje consideradas antigas, tornou-se importante em nossos dias quando a internet e distância as pessoas e as crianças ficam inertes diante de telas e não brincam mais.

Ivan usa cores vivas em seus quadros e pinta sempre o mesmo cenário. “Nos meus quadros, as ruas são de barro e as casas têm portas simples e telhados triangulares”, descreve. “São assim porque pinto as ruas de Vigário Geral, no subúrbio Rio de Janeiro, na época em que eu era criança e brincava por lá”.

Ele saiu do bidimensional (tela) e foi para o tridimensional criando esculturas em bronze no tamanho médio (25cm aproximado)e natural (1,25m aproximado) que estão em praças públicas da Região dos Lagos. Cria mini esculturas com aproximadamente 2cm em metal nobre e estanho pintados a mão.

Hoje Ivan Cruz tem uma nova paixão – Pintar sua infância em muros de escolas, praças, ONGs, casas pelo Mundo – São dois muros que ficaram na lista dos mais extensos o 1° com aproximadamente 100 metros na E.M. em Unamar /Cabo Frio / R.J. e o 2º em uma E.M em Santos / São Paulo  com 70 metros aproximados de extensão.

São mais de 600 quadros, 30 Esculturas em Tamanho Natural em Praças Públicas, 27 esculturas médias, 37 esculturas em miniaturas e Muros das Brincadeiras em todo Brasil –  com cerca de 100 brincadeiras diferentes.

Conheça mais sobre o nosso Projeto: – https://www.ivancruz.com.br  – https://www.instagram.com/ivancruzbrincadeirasdecrianca/  -22 988126168 (whatsapp)

Um forte abraço e vamos brincar?!

Equipe do Projeto Brincadeiras de Criança.""","Ludmila Guerra - Coordenadora e curadora “Projeto Brincadeiras de Criança""",18/07/2025,OK,-22.7378309,-42.0240869
268,Ponto de Cultura Ubemtem.,-,-,"Rua Albano,100. Praça Seca",Rio de Janeiro,Metropolitana I,(21) 99587-9097,capoeiraubemtem@gmail.com,-,-,Instragam:@ubemtem,-,Privada,Não existe documentação de criação do museu,Aberto,"Terça e Quinta - Tarde e Noite / Sexta a Noite / Sábado - Manhã, Tarde e Noite",Gratuito,-,Sim,Outros,Não,"possui acassibilidade atitudinal, comunicacional,necessita de adequações físicas.","""Ponto de Cultura UBemtem – Museu Vivo da Capoeira

No coração da Praça Seca, na Zona Oeste do Rio de Janeiro,entre Chacrinha e Batou Mouche pulsa um espaço onde o tempo não apaga memórias e o corpo dança a história: o Ponto de Cultura UBemtem. Mais que um centro cultural, o UBemtem é um museu vivo, guardião e difusor da capoeira – Patrimônio Cultural Imaterial da Humanidade reconhecido pela UNESCO.
A capoeira, nascida do encontro forçado de culturas africanas escravizadas no Brasil, foi resistência, disfarçada em dança para escapar à repressão. Ao som do berimbau, carregou em cada ginga a luta por liberdade, identidade e dignidade. Hoje, o Ubemtem mantém viva essa herança, garantindo que a comunidade tenha acesso a essa expressão singular da cultura afro-brasileira.
Desde sua fundação em 2020, o Ubemtem atua como elo entre passado e futuro. Aulas, rodas, oficinas e apresentações não são apenas eventos, mas atos de preservação e transmissão de saberes ancestrais. Cada toada, cada movimento, cada ladainha ecoa como parte de um acervo imaterial que se constrói e se renova a cada encontro.
Aqui, o acervo não está preso a vitrines: ele vive no corpo de cada criança e jovem , na memória dos mestres, no som dos instrumentos, nas histórias compartilhadas à beira da roda. É um lugar onde a comunidade encontra não só a prática da capoeira, e outras manifestações da cultura como jongo, maculelê, puxada de rede,ciranda,samba de roda, gerando pertencimento, autoestima e a consciência de serem herdeiros de uma história de resistência.
O Ponto de Cultura Ubemtem é, assim, mais que um espaço físico: é um guardião da memória coletiva, um território de afirmação cultural e um farol que mantém acesa a chama da capoeira, garantindo que as próximas gerações possam ginga-la com orgulho e liberdade.""",Jussara Santos de Queiroz  - Fundadora/Mestra,09/08/2025,OK,-22.9009139,-43.3569853
269,ARTCORRE GALERIA,-,-,"R. Vinicius Ribeiro, Conj, R. Roque Barbosa, 2 - loja c - Bangu, Rio de Janeiro - RJ, 21866-240",Rio de Janeiro,Metropolitana I,(21) 97030-3049,meiofiogaleria@gmail.com,-,-,@meiofiogaleria @artcorregaleria,-,Privada,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",Quinta a Domingo - Manhã e Tarde,Gratuito,-,Não,Artes Visuais,Não,Estamos realizando estudos para adaptação do espaço.,"Desde 2024 esta localizado no bairro de Jardim Bangu, espaço responsável por receber ações expositivas e educativas voltadas ao desenvolvimento artístico e social de artistas e público da Zona Oeste do Rio de Janeiro.",Yuri Menezes Theotonio  - Fundador / Curador,14/08/2025,OK,-22.9110137,-43.2093727
270,CENTRO DE MEMÓRIA DA INDUSTRIA TÊXTIL DE PARACAMBI,-,-,RUA SEBASTIÃO DE LACERDA. S/Nº - FÁBRICA - SALA 316,Paracambi,Metropolitana II,(21) 99241-5506,centrodememoriatextil.cpar@ifrj.edu.br,https://www.memoriaoperariaparacambi.com.br/,espacofabricactbi,@centrodememoria.cpar,-,Federal,Não existe documentação de criação do museu,Em implantação,Segunda a Sexta - Manhã / Sábado à tarde,Gratuito,-,Sim,Outros,Não,"sim, possuímos elevador.","Centro de Memória da indústria têxtil de Paracambi, é uma iniciativa de servidores do Instituto Federal do Rio de Janeiro - Campus Paracambi, que desde 2019 desenvolve ações educativas, de pesquisa documental e de história oral, e em defesa do patrimônio histórico da antiga Cia. Têxtil Brasil Industrial -tombada em 1985 pelo INEPAC. As ações desenvolvidas contam com o apoio institucional do IFRJ, da prefeitura municipal de Paracambi e, sobretudo, da comunidade que oferecido seus registros pessoais (fotos, anotações, objetos, documentos, etc) para a composição do acervo do centro de memória. ",Davi Pereira Romeiro Neto - Coordenador,01/09/2025,OK,-22.6198963,-43.7282043
271,Centro de Memória Rita Joana da Silva e Biblioteca Ilê Ikawe Igbeji,-,-,"Praça Desembargador Julião Macedo Soares,163 lote 1 quadra 30, Retiro São Joaquim",Itaboraí,Metropolitana III,(21) 98528-5866,cmrjsbibliotecaileikaweibeji@gmail.com / cmileasheefon50@gmail.com,https://ileaxeofalare.com.br/,facebook.com/share/166b5LDMvs/,-,-,Privada,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",Todos os dias - Manhã e Tarde,Gratuito,-,Sim,Outros,Não,O espaço físico apresenta [possibilidade de adaptação as diferentes deficiência . Quanto a deficiências auditivas já o voluntariado de legendas descritivas.,"Inauguração dia 03/12/2022, tem a missão de preservação história , cultural e religiosa do povo de Matriz Africana. Compõe o acervo pecças artesanais , fotografias, menções e moções, documentos, livros , discografias, aruivos. Certificado como Ponto de Memória pelo Ibram e instalado dentro do Ponto de Cultura do Terreiro Ilê Axé Ofá Larê. Oferece Oficinas Ancestrais gastronômicas, percussão, capacitação, palestras, encontros literários .",Regina Maria Fontes da Silva - Diretora,08/09/2025,OK,-22.7558128,-42.8829561
272,Museu Virtual de Campo Grande,-,-,Estrada do Cabuçu 260 Campo Grande RJ,Rio de Janeiro,Metropolitana I,(21) 98177-2039,Ideiasespacocriativo@gmail.com,www.museudecampogrande.com.br,-,@museudecampogranderjoficial,-,Privada,Não existe documentação de criação do museu,Aberto,"Todos os dias - Manhã, Tarde e Noite",Gratuito,-,Não,Virtual,Não,O Museu Virtual de Campo Grande/ www.museudecampogrande.com.br está acessível em Libras.,-,Silvia Christina Fernandes da Silva,22/09/2025,OK,-22.9166272,-43.5343526
273,Museu Do Artista Independente E Da Periferia,MDAIEDP,,"Rua Érbio Chernicharo , 224 casa 2 , moqueta, Nova Iguaçu ",Nova Iguaçu,Metropolitana II,(21) 98082-3455,mdaiedp@gmail.com,-,-,mdaiedp,-,Estadual,Não existe documentação de criação do museu,Aberto,Segunda a Sexta - Tarde,Gratuito,,Sim,Artes Visuais,Não,Áudiodescrição e Braille,Museu do artista independente e da periferia,Herikson Oliveira da Silva - Diretor,10/10/2025,OK,-22.7592175,-43.4508728
274,Fazenda São Clemente,-,-,"Fazenda São Clemente, Boa Sorte",Cantagalo,Médio Paraíba,(22) 98124-1505,fazendasaoclemente1812@gmail.com,-,-,@fazendasaoclemente1812,-,Privada,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",Sexta a Terça - Manhã e Tarde,Acima de R$30,"Sim. Estudantes de escolas federais, estaduais e municipais. ",Não,Histórico,Não,-,Fazenda histórica no cultivo de café no Vale do Paraíba fluminense.,Marcello Cardoso Monnerat - Proprietário,25/10/2025,OK,-21.8673976,-42.3062367
